,experiment,sample_id,original_sample_id,trait
exp04_SRX9845536,exp04,SRX9845536,SRX9845536,tolerant
exp04_SRX9845537,exp04,SRX9845537,SRX9845537,tolerant
exp04_SRX9845538,exp04,SRX9845538,SRX9845538,tolerant
exp04_SRX9845539,exp04,SRX9845539,SRX9845539,tolerant
exp04_SRX9845540,exp04,SRX9845540,SRX9845540,sensitive
exp04_SRX9845541,exp04,SRX9845541,SRX9845541,sensitive
exp04_SRX9845542,exp04,SRX9845542,SRX9845542,sensitive
exp04_SRX9845543,exp04,SRX9845543,SRX9845543,sensitive
exp05_SRX7172518,exp05,SRX7172518,SRX7172518,sensitive
exp05_SRX7172519,exp05,SRX7172519,SRX7172519,sensitive
exp05_SRX7172520,exp05,SRX7172520,SRX7172520,sensitive
exp05_SRX7172521,exp05,SRX7172521,SRX7172521,sensitive
exp05_SRX7172522,exp05,SRX7172522,SRX7172522,sensitive
exp05_SRX7172523,exp05,SRX7172523,SRX7172523,tolerant
exp05_SRX7172524,exp05,SRX7172524,SRX7172524,sensitive
exp05_SRX7172525,exp05,SRX7172525,SRX7172525,sensitive
exp05_SRX7172526,exp05,SRX7172526,SRX7172526,sensitive
exp05_SRX7172527,exp05,SRX7172527,SRX7172527,sensitive
exp05_SRX7172528,exp05,SRX7172528,SRX7172528,sensitive
exp05_SRX7172529,exp05,SRX7172529,SRX7172529,sensitive
exp05_SRX7172530,exp05,SRX7172530,SRX7172530,sensitive
exp05_SRX7172531,exp05,SRX7172531,SRX7172531,sensitive
exp05_SRX7172532,exp05,SRX7172532,SRX7172532,sensitive
exp05_SRX7172533,exp05,SRX7172533,SRX7172533,sensitive
exp05_SRX7172534,exp05,SRX7172534,SRX7172534,sensitive
exp05_SRX7172535,exp05,SRX7172535,SRX7172535,sensitive
exp05_SRX7172536,exp05,SRX7172536,SRX7172536,sensitive
exp05_SRX7172537,exp05,SRX7172537,SRX7172537,sensitive
exp05_SRX7172538,exp05,SRX7172538,SRX7172538,sensitive
exp05_SRX7172539,exp05,SRX7172539,SRX7172539,tolerant
exp05_SRX7172540,exp05,SRX7172540,SRX7172540,tolerant
exp05_SRX7172541,exp05,SRX7172541,SRX7172541,tolerant
exp05_SRX7172542,exp05,SRX7172542,SRX7172542,tolerant
exp05_SRX7172543,exp05,SRX7172543,SRX7172543,sensitive
exp05_SRX7172544,exp05,SRX7172544,SRX7172544,tolerant
exp05_SRX7172545,exp05,SRX7172545,SRX7172545,tolerant
exp05_SRX7172546,exp05,SRX7172546,SRX7172546,tolerant
exp05_SRX7172547,exp05,SRX7172547,SRX7172547,tolerant
exp05_SRX7172548,exp05,SRX7172548,SRX7172548,tolerant
exp05_SRX7172549,exp05,SRX7172549,SRX7172549,tolerant
exp05_SRX7172550,exp05,SRX7172550,SRX7172550,tolerant
exp05_SRX7172551,exp05,SRX7172551,SRX7172551,sensitive
exp05_SRX7172552,exp05,SRX7172552,SRX7172552,tolerant
exp05_SRX7172553,exp05,SRX7172553,SRX7172553,tolerant
exp05_SRX7172554,exp05,SRX7172554,SRX7172554,sensitive
exp05_SRX7172555,exp05,SRX7172555,SRX7172555,tolerant
exp05_SRX7172556,exp05,SRX7172556,SRX7172556,tolerant
exp05_SRX7172557,exp05,SRX7172557,SRX7172557,sensitive
exp05_SRX7172558,exp05,SRX7172558,SRX7172558,sensitive
exp05_SRX7172559,exp05,SRX7172559,SRX7172559,sensitive
exp05_SRX7172560,exp05,SRX7172560,SRX7172560,sensitive
exp05_SRX7172561,exp05,SRX7172561,SRX7172561,sensitive
exp05_SRX7172562,exp05,SRX7172562,SRX7172562,sensitive
exp05_SRX7172563,exp05,SRX7172563,SRX7172563,sensitive
exp05_SRX7172564,exp05,SRX7172564,SRX7172564,sensitive
exp05_SRX7172565,exp05,SRX7172565,SRX7172565,tolerant
exp05_SRX7172566,exp05,SRX7172566,SRX7172566,tolerant
exp05_SRX7172567,exp05,SRX7172567,SRX7172567,tolerant
exp05_SRX7172568,exp05,SRX7172568,SRX7172568,tolerant
exp05_SRX7172569,exp05,SRX7172569,SRX7172569,tolerant
exp05_SRX7172570,exp05,SRX7172570,SRX7172570,tolerant
exp05_SRX7172571,exp05,SRX7172571,SRX7172571,tolerant
exp05_SRX7172572,exp05,SRX7172572,SRX7172572,tolerant
exp05_SRX7172573,exp05,SRX7172573,SRX7172573,sensitive
exp05_SRX7172574,exp05,SRX7172574,SRX7172574,tolerant
exp05_SRX7172575,exp05,SRX7172575,SRX7172575,tolerant
exp05_SRX7172576,exp05,SRX7172576,SRX7172576,tolerant
exp05_SRX7172577,exp05,SRX7172577,SRX7172577,tolerant
exp05_SRX7172578,exp05,SRX7172578,SRX7172578,tolerant
exp05_SRX7172579,exp05,SRX7172579,SRX7172579,tolerant
