gene_id	gene_name	pval
LOC111127133	LOC111127133	2.9144036752124785e-07
LOC111135635	LOC111135635	3.071063577503424e-07
LOC111120875	LOC111120875	3.165808489383753e-07
LOC111127599	LOC111127599	3.2034287416716006e-07
LOC111100265	LOC111100265	3.279678422098253e-07
LOC111099992	LOC111099992	3.2991860218683386e-07
LOC111128433	LOC111128433	3.3559196446558906e-07
LOC111106311	LOC111106311	3.390007448380062e-07
LOC111121103	LOC111121103	3.6510112410834124e-07
LOC111123982	LOC111123982	3.65825697140888e-07
LOC111127620	LOC111127620	3.7183848987668646e-07
LOC111102719	LOC111102719	3.7383885780006513e-07
LOC111106444	LOC111106444	3.8918689672718887e-07
LOC111101834	LOC111101834	3.9274246907604007e-07
LOC111122314	LOC111122314	4.0856984143999753e-07
LOC111110965	LOC111110965	4.1253441503918616e-07
LOC111132147	LOC111132147	4.265041435305261e-07
LOC111113086	LOC111113086	4.3344661241430737e-07
LOC111115618	LOC111115618	4.34959770243385e-07
LOC111121408	LOC111121408	4.383762904830572e-07
LOC111133275	LOC111133275	4.4418057026725705e-07
LOC111109456	LOC111109456	4.665678878182646e-07
LOC111134360	LOC111134360	4.764579901926191e-07
LOC111133041	LOC111133041	4.916562201393958e-07
LOC111126717	LOC111126717	5.107766603373657e-07
LOC111130260	LOC111130260	5.120394255010637e-07
LOC111107482	LOC111107482	5.400875207331015e-07
LOC111102738	LOC111102738	5.429544308111474e-07
LOC111108208	LOC111108208	5.688299822741071e-07
LOC111127472	LOC111127472	5.830424090597394e-07
LOC111137775	LOC111137775	5.97821864462208e-07
LOC111133778	LOC111133778	6.451759646187797e-07
LOC111100603	LOC111100603	6.501506945808579e-07
LOC111132030	LOC111132030	6.724292381245697e-07
LOC111116256	LOC111116256	7.368784274620173e-07
LOC111130375	LOC111130375	8.027163517178564e-07
LOC111100437	LOC111100437	8.744243973707182e-07
LOC111135810	LOC111135810	8.801687146066884e-07
LOC111138392	LOC111138392	8.879252771665722e-07
LOC111135407	LOC111135407	9.031002840683408e-07
LOC111126727	LOC111126727	9.289014277539225e-07
LOC111101787	LOC111101787	9.482595321949873e-07
LOC111103663	LOC111103663	9.518999484164257e-07
LOC111127905	LOC111127905	9.760925251444572e-07
